# log10mustar log10mustar_err log10lambda log10lambda_err
1.250967121124267578e+01 9.246267378330230713e-02 1.353167057037353516e+00 4.455931857228279114e-02
1.245216464996337891e+01 9.347514063119888306e-02 1.369880795478820801e+00 4.293467476963996887e-02
1.226683902740478516e+01 1.042180433869361877e-01 1.304733633995056152e+00 4.241577535867691040e-02
1.246915531158447266e+01 1.013581305742263794e-01 1.361027717590332031e+00 4.289727285504341125e-02
1.240466690063476562e+01 2.612306475639343262e-01 1.350219249725341797e+00 3.834745660424232483e-02
1.244851684570312500e+01 1.340263187885284424e-01 1.420521736145019531e+00 5.320424959063529968e-02
1.213845443725585938e+01 9.270261228084564209e-02 1.384063959121704102e+00 4.048795625567436218e-02
1.251535034179687500e+01 1.835129410028457642e-01 1.356095075607299805e+00 4.026595503091812134e-02
1.227383136749267578e+01 1.099173799157142639e-01 1.310605764389038086e+00 4.081365838646888733e-02
1.234058570861816406e+01 1.521242111921310425e-01 1.357551574707031250e+00 4.146187752485275269e-02
1.249788951873779297e+01 9.598213434219360352e-02 1.336395382881164551e+00 4.047346487641334534e-02
1.239802455902099609e+01 1.102699115872383118e-01 1.451351642608642578e+00 4.382767528295516968e-02
1.250151538848876953e+01 7.404099404811859131e-02 1.302428483963012695e+00 3.995026648044586182e-02
1.237936782836914062e+01 7.998629659414291382e-02 1.374939680099487305e+00 4.961374774575233459e-02
1.233330535888671875e+01 7.929017394781112671e-02 1.417745590209960938e+00 6.705313175916671753e-02
1.227377891540527344e+01 1.291169673204421997e-01 1.317357778549194336e+00 4.398124292492866516e-02
1.203046512603759766e+01 1.153461858630180359e-01 1.356095075607299805e+00 3.960623219609260559e-02
1.214320755004882812e+01 1.229853034019470215e-01 1.446876168251037598e+00 6.558581441640853882e-02
1.221837520599365234e+01 1.808324158191680908e-01 1.391120195388793945e+00 4.636022448539733887e-02
1.238360977172851562e+01 2.051862627267837524e-01 1.319902539253234863e+00 4.330372437834739685e-02
1.235602855682373047e+01 1.508671790361404419e-01 1.356678247451782227e+00 4.828516021370887756e-02
1.233183002471923828e+01 9.177881479263305664e-02 1.378279805183410645e+00 5.471055954694747925e-02
1.244081115722656250e+01 6.781449913978576660e-02 1.363616585731506348e+00 4.438365623354911804e-02
1.248633766174316406e+01 1.168959662318229675e-01 1.390042066574096680e+00 6.218889355659484863e-02
1.225382423400878906e+01 3.100141584873199463e-01 1.344262838363647461e+00 4.055310413241386414e-02
1.203354930877685547e+01 8.680994808673858643e-02 1.319902539253234863e+00 4.662520438432693481e-02
1.239149761199951172e+01 1.785312741994857788e-01 1.328071713447570801e+00 4.157955199480056763e-02
1.235865592956542969e+01 1.580353230237960815e-01 1.344862222671508789e+00 4.834374412894248962e-02
1.227859783172607422e+01 9.134791791439056396e-02 1.365048170089721680e+00 5.672385916113853455e-02
1.235043239593505859e+01 1.421818733215332031e-01 1.313834071159362793e+00 5.084143579006195068e-02
1.245938205718994141e+01 1.124246120452880859e-01 1.305061936378479004e+00 4.405503347516059875e-02
1.248735332489013672e+01 9.918140619993209839e-02 1.424279093742370605e+00 4.526294767856597900e-02
1.225268745422363281e+01 1.109611913561820984e-01 1.325887322425842285e+00 4.044861719012260437e-02
1.204803848266601562e+01 1.164485439658164978e-01 1.322747707366943359e+00 4.672144353389739990e-02
1.250418949127197266e+01 9.357021749019622803e-02 1.417745590209960938e+00 3.901892900466918945e-02
1.249863147735595703e+01 1.292975395917892456e-01 1.311576843261718750e+00 4.758943244814872742e-02
1.237944316864013672e+01 1.589621901512145996e-01 1.309957265853881836e+00 3.927382454276084900e-02
1.197473049163818359e+01 7.178016752004623413e-02 1.369598031044006348e+00 6.624145805835723877e-02
1.248483467102050781e+01 1.206417903304100037e-01 1.321169376373291016e+00 3.982324153184890747e-02
1.251683902740478516e+01 1.647655069828033447e-01 1.351695656776428223e+00 4.749732837080955505e-02
1.240511703491210938e+01 1.288375854492187500e-01 1.347251296043395996e+00 4.327985271811485291e-02
1.244317722320556641e+01 8.415166288614273071e-02 1.329935193061828613e+00 3.760485723614692688e-02
1.247874736785888672e+01 1.308648884296417236e-01 1.322432518005371094e+00 4.324705153703689575e-02
1.228344345092773438e+01 8.914186805486679077e-02 1.317357778549194336e+00 4.522071406245231628e-02
1.248355388641357422e+01 8.991476148366928101e-02 1.346058368682861328e+00 4.397808760404586792e-02
1.201219844818115234e+01 1.735600680112838745e-01 1.332715630531311035e+00 4.831595346331596375e-02
1.245802402496337891e+01 1.319325268268585205e-01 1.308982610702514648e+00 5.057148635387420654e-02
1.241773414611816406e+01 1.388422697782516479e-01 1.328382849693298340e+00 4.572826251387596130e-02
1.221694755554199219e+01 1.920000016689300537e-01 1.348440885543823242e+00 4.404417425394058228e-02
1.215938568115234375e+01 1.493086814880371094e-01 1.313190340995788574e+00 6.128043308854103088e-02
1.239989280700683594e+01 2.178577929735183716e-01 1.341253757476806641e+00 4.145820438861846924e-02
1.238064956665039062e+01 9.931544214487075806e-02 1.301767587661743164e+00 4.410242289304733276e-02
1.239182472229003906e+01 1.592763066291809082e-01 1.318313837051391602e+00 3.958476707339286804e-02
1.246278953552246094e+01 9.410803765058517456e-02 1.304733633995056152e+00 4.174904525279998779e-02
1.251621627807617188e+01 1.727509498596191406e-01 1.305390000343322754e+00 4.317088425159454346e-02
1.238452529907226562e+01 9.618888050317764282e-02 1.340649485588073730e+00 5.080642178654670715e-02
1.243127536773681641e+01 1.672327220439910889e-01 1.301436781883239746e+00 5.353164672851562500e-02
1.216347789764404297e+01 1.194775402545928955e-01 1.357551574707031250e+00 4.546350985765457153e-02
1.250132751464843750e+01 9.241602569818496704e-02 1.306045413017272949e+00 5.240709334611892700e-02
1.247925186157226562e+01 1.441209912300109863e-01 1.378556966781616211e+00 4.674907028675079346e-02
1.218010425567626953e+01 1.325153857469558716e-01 1.382693767547607422e+00 4.734278470277786255e-02
1.234462356567382812e+01 1.878661513328552246e-01 1.301105618476867676e+00 4.834192618727684021e-02
1.213890361785888672e+01 1.461003869771957397e-01 1.308982610702514648e+00 4.320790991187095642e-02
1.241456317901611328e+01 9.257302433252334595e-02 1.329935193061828613e+00 4.791972786188125610e-02
1.205422306060791016e+01 9.309002012014389038e-02 1.305390000343322754e+00 3.925018757581710815e-02
1.248276519775390625e+01 8.879374712705612183e-02 1.388690590858459473e+00 4.374755918979644775e-02
1.238399124145507812e+01 1.236873716115951538e-01 1.396736979484558105e+00 4.438700526952743530e-02
1.234546470642089844e+01 9.798122197389602661e-02 1.340044260025024414e+00 5.299909040331840515e-02
1.234471988677978516e+01 1.483457386493682861e-01 1.333945751190185547e+00 4.756833612918853760e-02
1.233561515808105469e+01 1.585130393505096436e-01 1.381594538688659668e+00 5.650804564356803894e-02
1.241658020019531250e+01 1.263293474912643433e-01 1.353754281997680664e+00 5.524748936295509338e-02
1.244714164733886719e+01 8.152679353952407837e-02 1.304076313972473145e+00 5.600061267614364624e-02
1.248309135437011719e+01 8.160268515348434448e-02 1.326200127601623535e+00 4.471268504858016968e-02
1.193744277954101562e+01 1.376438885927200317e-01 1.327448725700378418e+00 4.706935212016105652e-02
1.233534622192382812e+01 1.358422636985778809e-01 1.326512575149536133e+00 4.466703534126281738e-02
1.229698181152343750e+01 1.242047771811485291e-01 1.306045413017272949e+00 4.458745196461677551e-02
1.241238212585449219e+01 1.704258471727371216e-01 1.365334033966064453e+00 5.697508528828620911e-02
1.216312026977539062e+01 7.859196513891220093e-02 1.307353258132934570e+00 4.324253275990486145e-02
1.251690959930419922e+01 1.437651664018630981e-01 1.332407593727111816e+00 5.561449378728866577e-02
1.238174915313720703e+01 1.294307708740234375e-01 1.365904927253723145e+00 4.956121742725372314e-02
1.139692592620849609e+01 1.120775192975997925e-01 1.312868118286132812e+00 1.105001941323280334e-01
1.248822784423828125e+01 1.263495087623596191e-01 1.331482052803039551e+00 4.105399549007415771e-02
1.222701644897460938e+01 1.603239327669143677e-01 1.338223695755004883e+00 4.456356912851333618e-02
1.244738292694091797e+01 9.623035788536071777e-02 1.351400732994079590e+00 4.152679815888404846e-02
1.230582046508789062e+01 1.246010437607765198e-01 1.301767587661743164e+00 4.958055168390274048e-02
1.244202899932861328e+01 1.249426081776618958e-01 1.360161304473876953e+00 4.997704550623893738e-02
1.238263988494873047e+01 1.089396551251411438e-01 1.348143815994262695e+00 4.729922860860824585e-02
1.209433460235595703e+01 1.724694818258285522e-01 1.328693747520446777e+00 7.586840540170669556e-02
1.209970092773437500e+01 2.087119519710540771e-01 1.305061936378479004e+00 4.949588701128959656e-02
1.238261318206787109e+01 1.085613816976547241e-01 1.315118670463562012e+00 4.181614890694618225e-02
1.226719379425048828e+01 1.011822223663330078e-01 1.302098155021667480e+00 4.352200403809547424e-02
1.242633342742919922e+01 1.139006763696670532e-01 1.316719174385070801e+00 4.786973446607589722e-02
1.248402786254882812e+01 1.044551804661750793e-01 1.391120195388793945e+00 6.503474712371826172e-02
1.218538188934326172e+01 2.451274394989013672e-01 1.310929656028747559e+00 6.059730052947998047e-02
1.220826244354248047e+01 1.307441741228103638e-01 1.306372761726379395e+00 4.472520947456359863e-02
1.200970935821533203e+01 1.144277974963188171e-01 1.322747707366943359e+00 4.922723770141601562e-02
1.246222114562988281e+01 1.481013447046279907e-01 1.312545657157897949e+00 4.857293143868446350e-02
1.232118320465087891e+01 2.218734174966812134e-01 1.317038536071777344e+00 4.763659089803695679e-02
1.250682258605957031e+01 1.209683269262313843e-01 1.303417921066284180e+00 4.810084402561187744e-02
1.248649024963378906e+01 1.441216170787811279e-01 1.315759658813476562e+00 5.526833981275558472e-02
1.236038112640380859e+01 1.775614470243453979e-01 1.339134931564331055e+00 5.246157944202423096e-02
1.250860404968261719e+01 1.529209613800048828e-01 1.326200127601623535e+00 5.073345825076103210e-02
1.248185348510742188e+01 8.614221960306167603e-02 1.305061936378479004e+00 7.315605878829956055e-02
1.233671474456787109e+01 1.918174326419830322e-01 1.337615132331848145e+00 4.834358766674995422e-02
1.223936080932617188e+01 2.403301149606704712e-01 1.315118670463562012e+00 6.216845661401748657e-02
1.195915508270263672e+01 1.063988953828811646e-01 1.362467885017395020e+00 6.559006869792938232e-02
1.232040309906005859e+01 9.606585651636123657e-02 1.307353258132934570e+00 6.739113479852676392e-02
1.245289707183837891e+01 1.179308965802192688e-01 1.352284789085388184e+00 5.175227299332618713e-02
1.228912067413330078e+01 1.533384770154953003e-01 1.441156268119812012e+00 6.561226397752761841e-02
1.232930660247802734e+01 5.475454777479171753e-02 1.322747707366943359e+00 4.967149719595909119e-02
1.243105983734130859e+01 1.493041217327117920e-01 1.311900019645690918e+00 4.819900169968605042e-02
1.249516677856445312e+01 9.215309470891952515e-02 1.352579116821289062e+00 4.705229774117469788e-02
1.230022335052490234e+01 1.545766144990921021e-01 1.371010065078735352e+00 6.385749578475952148e-02
1.242218303680419922e+01 1.956165432929992676e-01 1.307026743888854980e+00 5.680744722485542297e-02
1.242527580261230469e+01 7.705622911453247070e-02 1.345460653305053711e+00 5.971664562821388245e-02
1.238131046295166016e+01 8.637706190347671509e-02 1.349923372268676758e+00 4.835307970643043518e-02
